****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Tue Mar 26 21:55:59 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  text_out_reg_64_ (WDDLDFFMS)        3.84e-06 1.02e-07 2.02e-09  3.94e-06   0.1
  us10 (aes_sbox_15)                  2.59e-05 5.04e-05 7.27e-08  7.64e-05   2.0
  us11 (aes_sbox_14)                  2.25e-05 4.35e-05 7.22e-08  6.61e-05   1.7
  us12 (aes_sbox_13)                  2.44e-05 4.68e-05 7.26e-08  7.13e-05   1.8
  us13 (aes_sbox_12)                  2.29e-05 4.28e-05 7.23e-08  6.58e-05   1.7
  sa11_reg_3_ (WDDLDFFMS)             3.71e-06 1.86e-07 2.02e-09  3.90e-06   0.1
  text_out_reg_25_ (WDDLDFFMS)        4.51e-06 1.36e-07 2.07e-09  4.65e-06   0.1
  sa32_reg_3_ (WDDLDFFMS)             4.10e-06 3.73e-07 1.97e-09  4.47e-06   0.1
  text_out_reg_65_ (WDDLDFFMS)        3.82e-06 6.80e-08 2.04e-09  3.89e-06   0.1
  us20 (aes_sbox_11)                  2.62e-05 5.03e-05 7.25e-08  7.66e-05   2.0
  us21 (aes_sbox_10)                  2.45e-05 4.93e-05 7.29e-08  7.38e-05   1.9
  us22 (aes_sbox_9)                   2.23e-05 4.28e-05 7.30e-08  6.51e-05   1.7
  us23 (aes_sbox_8)                   2.92e-05 5.66e-05 7.25e-08  8.58e-05   2.2
  sa11_reg_4_ (WDDLDFFMS)             4.26e-06 3.35e-07 2.00e-09  4.60e-06   0.1
  text_out_reg_26_ (WDDLDFFMS)        3.89e-06 1.02e-07 2.03e-09  3.99e-06   0.1
  sa32_reg_4_ (WDDLDFFMS)             3.94e-06 3.12e-07 2.01e-09  4.25e-06   0.1
  text_out_reg_66_ (WDDLDFFMS)        3.42e-06 3.40e-08 1.98e-09  3.45e-06   0.1
  us30 (aes_sbox_7)                   2.43e-05 4.80e-05 7.10e-08  7.24e-05   1.9
  us31 (aes_sbox_6)                   2.03e-05 3.96e-05 7.10e-08  6.00e-05   1.5
  us32 (aes_sbox_5)                   1.93e-05 3.73e-05 7.08e-08  5.67e-05   1.5
  us33 (aes_sbox_4)                   2.09e-05 4.06e-05 7.18e-08  6.16e-05   1.6
  sa11_reg_5_ (WDDLDFFMS)             4.38e-06 2.00e-07 2.00e-09  4.59e-06   0.1
  sa01_reg_0_ (WDDLDFFMS)             4.05e-06 2.99e-07 2.02e-09  4.35e-06   0.1
  text_out_reg_27_ (WDDLDFFMS)        3.92e-06 1.02e-07 2.04e-09  4.02e-06   0.1
  sa32_reg_5_ (WDDLDFFMS)             4.14e-06 3.00e-07 2.03e-09  4.44e-06   0.1
  sa22_reg_0_ (WDDLDFFMS)             4.04e-06 2.99e-07 2.01e-09  4.34e-06   0.1
