****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Fri Mar 29 15:33:18 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
    U284 (WDDLNAND2X)                 1.87e-06 1.93e-06 2.31e-09  3.80e-06   0.1
    U298 (WDDLINV)                    1.26e-06 2.00e-06 1.21e-09  3.25e-06   0.1
    U8 (WDDLINV)                      9.40e-07 1.84e-06 1.22e-09  2.78e-06   0.0
    U308 (WDDLINV)                    1.03e-06 1.77e-06 1.21e-09  2.80e-06   0.0
    U211 (WDDLNOR2X)                  1.84e-06 2.02e-06 2.34e-09  3.86e-06   0.1
    U214 (WDDLNOR2X)                  1.72e-06 2.12e-06 2.33e-09  3.84e-06   0.1
    U215 (WDDLNAND2X)                 1.74e-06 1.81e-06 2.25e-09  3.55e-06   0.1
    U310 (WDDLNAND2X)                 2.71e-06 2.95e-06 2.29e-09  5.66e-06   0.1
    U332 (WDDLINV)                    1.05e-06 1.20e-06 1.19e-09  2.25e-06   0.0
  sa11_reg_4_ (WDDLDFFMS)             5.19e-06 6.70e-07 2.06e-09  5.86e-06   0.1
  text_out_reg_26_ (WDDLDFFMS)        4.27e-06 1.36e-07 2.06e-09  4.41e-06   0.1
  sa32_reg_4_ (WDDLDFFMS)             6.69e-06 1.09e-06 2.12e-09  7.79e-06   0.1
  text_out_reg_66_ (WDDLDFFMS)        5.44e-06 2.04e-07 2.11e-09  5.65e-06   0.1
  us30 (aes_sbox_7)                   4.34e-05 8.33e-05 7.13e-08  1.27e-04   2.2
  us31 (aes_sbox_6)                   4.53e-05 8.81e-05 7.10e-08  1.33e-04   2.3
  us32 (aes_sbox_5)                   4.21e-05 8.26e-05 7.15e-08  1.25e-04   2.2
  us33 (aes_sbox_4)                   4.62e-05 8.99e-05 7.14e-08  1.36e-04   2.4
  sa11_reg_5_ (WDDLDFFMS)             6.43e-06 6.99e-07 2.13e-09  7.13e-06   0.1
  sa01_reg_0_ (WDDLDFFMS)             5.67e-06 4.98e-07 2.07e-09  6.17e-06   0.1
  text_out_reg_27_ (WDDLDFFMS)        5.17e-06 1.70e-07 2.09e-09  5.34e-06   0.1
  sa32_reg_5_ (WDDLDFFMS)             6.18e-06 4.99e-07 2.11e-09  6.68e-06   0.1
  sa22_reg_0_ (WDDLDFFMS)             6.36e-06 5.97e-07 2.11e-09  6.96e-06   0.1
  text_out_reg_67_ (WDDLDFFMS)        5.17e-06 1.70e-07 2.11e-09  5.34e-06   0.1
  sa11_reg_6_ (WDDLDFFMS)             5.55e-06 3.22e-07 2.06e-09  5.87e-06   0.1
  sa01_reg_1_ (WDDLDFFMS)             5.48e-06 1.56e-06 2.08e-09  7.04e-06   0.1
  text_out_reg_28_ (WDDLDFFMS)        5.07e-06 1.70e-07 2.10e-09  5.24e-06   0.1
  sa32_reg_6_ (WDDLDFFMS)             6.52e-06 5.55e-07 2.13e-09  7.07e-06   0.1
  sa22_reg_1_ (WDDLDFFMS)             5.91e-06 1.92e-06 2.10e-09  7.83e-06   0.1
  text_out_reg_68_ (WDDLDFFMS)        5.24e-06 2.04e-07 2.09e-09  5.44e-06   0.1
  sa11_reg_7_ (WDDLDFFMS)             6.22e-06 1.98e-06 2.12e-09  8.20e-06   0.1
  sa01_reg_2_ (WDDLDFFMS)             5.95e-06 1.16e-06 2.12e-09  7.11e-06   0.1
  text_out_reg_29_ (WDDLDFFMS)        5.12e-06 1.89e-07 2.11e-09  5.32e-06   0.1
  sa32_reg_7_ (WDDLDFFMS)             5.50e-06 1.13e-06 2.07e-09  6.63e-06   0.1
  text_out_reg_120_ (WDDLDFFMS)       5.14e-06 1.89e-07 2.11e-09  5.33e-06   0.1
  sa22_reg_2_ (WDDLDFFMS)             5.88e-06 1.16e-06 2.12e-09  7.04e-06   0.1
  text_out_reg_69_ (WDDLDFFMS)        5.02e-06 1.70e-07 2.09e-09  5.19e-06   0.1
  sa01_reg_3_ (WDDLDFFMS)             5.58e-06 1.12e-06 2.09e-09  6.70e-06   0.1
  text_out_reg_121_ (WDDLDFFMS)       4.56e-06 1.02e-07 2.04e-09  4.66e-06   0.1
  text_out_reg_10_ (WDDLDFFMS)        4.32e-06 1.36e-07 2.04e-09  4.46e-06   0.1
  sa22_reg_3_ (WDDLDFFMS)             5.97e-06 1.12e-06 2.10e-09  7.09e-06   0.1
  text_out_reg_50_ (WDDLDFFMS)        3.68e-06 6.80e-08 2.02e-09  3.75e-06   0.1
  sa01_reg_4_ (WDDLDFFMS)             5.36e-06 8.38e-07 2.08e-09  6.20e-06   0.1
  text_out_reg_90_ (WDDLDFFMS)        5.04e-06 1.70e-07 2.07e-09  5.22e-06   0.1
  text_out_reg_122_ (WDDLDFFMS)       4.58e-06 1.55e-07 2.08e-09  4.73e-06   0.1
  text_out_reg_11_ (WDDLDFFMS)        5.03e-06 1.55e-07 2.08e-09  5.19e-06   0.1
  sa22_reg_4_ (WDDLDFFMS)             6.47e-06 1.17e-06 2.13e-09  7.64e-06   0.1
