****************************************
Report : Time Based Power
	-hierarchy
	-verbose
Design : aes_cipher_top
Version: N-2017.12-SP3-2
Date   : Sun Mar 31 23:41:30 2019
****************************************

Sampling Interval: 0.001 ns

Library(s) Used:

    sage-x_tsmc_cl018g_rvt_ss_1p62v_125c (File: /opt/libs/tsmc180/extracted/tsmc/cl018g/sc9_base_rvt/2008q3v01/db/sage-x_tsmc_cl018g_rvt_ss_1p62v_125c.db)
    tpz018nvwc (File: /opt/libs/tsmc180/extracted/gpio/TPZ018NV/TS02IG502/fb_tpz018nv_280a_r6p0-02eac0/timing_power_noise/NLDM/tpz018nv_280a/tpz018nvwc.db)
    sram12x8 (File: /home/bilgiday/sram_new/db/sram12x8_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram6x26_slow_syn.db)
    sram8x25 (File: /home/bilgiday/sram_new/db/sram8x25_slow_syn.db)
    sram9x32 (File: /home/bilgiday/sram_new/db/sram9x32_slow_syn.db)
    sram6x32 (File: /home/bilgiday/sram_new/db/sram6x32_slow_syn.db)
    sram8x32 (File: /home/bilgiday/sram_new/db/sram8x32_slow_syn.db)
    USERLIB (File: /home/bilgiday/sram_new/db/sram2p8x32_slow_syn.db)
    sram13x8 (File: /home/bilgiday/sram_new/db/sram13x8_slow_syn.db)


Operating Conditions: ss_1p62v_125c   Library: sage-x_tsmc_cl018g_rvt_ss_1p62v_125c
Wire Load Model Mode: top

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   aes_cipher_top
                                TSMC16K_Conservative
                                            tpz018nvwc    automatic-by-area

Power-specific unit information :
    Voltage Units = 1 V
    Capacitance Units = 1 pf
    Time Units = 1 ns
    Dynamic Power Units = 1 W
    Leakage Power Units = 1 W



                                      Int      Switch   Leak      Total
Hierarchy                             Power    Power    Power     Power    %
--------------------------------------------------------------------------------
  text_out_reg_64_ (WDDLDFFMS)        4.62e-06 1.36e-07 2.06e-09  4.76e-06   0.1
  us10 (aes_sbox_15)                  4.30e-05 8.32e-05 7.30e-08  1.26e-04   2.1
  us11 (aes_sbox_14)                  5.18e-05 9.87e-05 7.33e-08  1.51e-04   2.5
  us12 (aes_sbox_13)                  4.13e-05 8.01e-05 7.27e-08  1.21e-04   2.0
  us13 (aes_sbox_12)                  4.70e-05 9.18e-05 7.27e-08  1.39e-04   2.3
  sa11_reg_3_ (WDDLDFFMS)             6.34e-06 9.51e-07 2.09e-09  7.30e-06   0.1
  text_out_reg_25_ (WDDLDFFMS)        4.90e-06 1.36e-07 2.07e-09  5.04e-06   0.1
  sa32_reg_3_ (WDDLDFFMS)             5.91e-06 9.51e-07 2.09e-09  6.86e-06   0.1
  text_out_reg_65_ (WDDLDFFMS)        4.69e-06 1.36e-07 2.07e-09  4.83e-06   0.1
  us20 (aes_sbox_11)                  4.64e-05 9.10e-05 7.28e-08  1.38e-04   2.3
  us21 (aes_sbox_10)                  4.61e-05 8.97e-05 7.32e-08  1.36e-04   2.2
  us22 (aes_sbox_9)                   4.40e-05 8.46e-05 7.30e-08  1.29e-04   2.1
  us23 (aes_sbox_8)                   1.55e-04 1.82e-04 1.57e-07  3.37e-04   5.5
    U257 (WDDLINV)                    1.03e-06 1.95e-06 1.18e-09  2.98e-06   0.0
    U259 (WDDLNOR2X)                  2.20e-06 2.09e-06 2.31e-09  4.29e-06   0.1
    U165 (WDDLNOR2X)                  3.36e-06 2.77e-06 2.33e-09  6.13e-06   0.1
    U262 (WDDLNOR2X)                  2.40e-06 2.62e-06 2.31e-09  5.02e-06   0.1
    U174 (WDDLNOR2X)                  2.11e-06 1.63e-06 2.33e-09  3.75e-06   0.1
    U177 (WDDLNAND2X)                 2.89e-06 2.32e-06 2.26e-09  5.21e-06   0.1
    U178 (WDDLNOR2X)                  2.00e-06 1.59e-06 2.34e-09  3.60e-06   0.1
    U179 (WDDLNOR2X)                  2.06e-06 1.49e-06 2.34e-09  3.54e-06   0.1
    U271 (WDDLNOR2X)                  2.30e-06 2.64e-06 2.32e-09  4.94e-06   0.1
    U277 (WDDLNOR2X)                  2.30e-06 2.21e-06 2.30e-09  4.51e-06   0.1
    U180 (WDDLNAND2X)                 2.99e-06 2.44e-06 2.37e-09  5.43e-06   0.1
    U188 (WDDLNAND2X)                 1.94e-06 1.20e-06 2.23e-09  3.14e-06   0.1
    U280 (WDDLNAND2X)                 2.16e-06 1.65e-06 2.28e-09  3.81e-06   0.1
    U284 (WDDLNAND2X)                 2.49e-06 2.20e-06 2.37e-09  4.69e-06   0.1
    U286 (WDDLNAND2X)                 2.48e-06 2.37e-06 2.33e-09  4.85e-06   0.1
    U194 (WDDLNOR2X)                  1.97e-06 1.36e-06 2.34e-09  3.33e-06   0.1
    U199 (WDDLNOR2X)                  2.31e-06 2.07e-06 2.34e-09  4.38e-06   0.1
    U292 (WDDLNOR2X)                  2.44e-06 2.23e-06 2.33e-09  4.68e-06   0.1
    U294 (WDDLNAND2X)                 2.31e-06 1.95e-06 2.31e-09  4.26e-06   0.1
    U298 (WDDLINV)                    1.84e-06 2.27e-06 1.16e-09  4.10e-06   0.1
    U8 (WDDLINV)                      1.88e-06 3.50e-06 1.16e-09  5.38e-06   0.1
    U200 (WDDLNAND2X)                 2.06e-06 1.35e-06 2.24e-09  3.42e-06   0.1
    U201 (WDDLNAND2X)                 2.14e-06 1.46e-06 2.27e-09  3.61e-06   0.1
    U308 (WDDLINV)                    1.94e-06 2.65e-06 1.17e-09  4.59e-06   0.1
    U211 (WDDLNOR2X)                  2.36e-06 3.02e-06 2.34e-09  5.38e-06   0.1
    U18 (WDDLNOR2X)                   3.17e-06 3.05e-06 2.33e-09  6.22e-06   0.1
    U214 (WDDLNOR2X)                  2.30e-06 3.13e-06 2.33e-09  5.44e-06   0.1
